Name,Year,Country,qty
Balla Destan & Lima,1992,albania,2
Bicaku Mefail; son Njazi,1996,albania,2
Borici Shaqir & Qamile; d. Bahrije,1993,albania,3
Budo Shyqyri & Xhemile,1992,albania,2
Ciftja Agostin & Gjysepina; dghtrs: Margarita Cezarina Gjovana,1992,albania,3
Frasheri Hysref & Ermine & son Mehmet,2000,albania,3
Hoti Hasan his sister Fife Gjylbegu; ch. Cele & Vehbi,1994,albania,3
Hoxa Rifat & Fejzije,2015,albania,2
Hoxha Nuro,1992,albania,1
Hoxha Shaban & Siavet; son Hilmi,1991,albania,3
Kadiu Besim & Aishe,1992,albania,2
Kasapi Zyrha; son Hamdi,1995,albania,2
Kilica Mikel,1999,albania,1
Kocerri Kasem Jakup,2000,albania,1
Kona Vasil & Kristina,1993,albania,2
Lekatari Mihal,1992,albania,1
Mece Sulejman & Zenepe,1992,albania,2
Muasil Dulaj,1992,albania,1
Myrto Abdulla & Ije,1992,albania,2
Myrto Shyqyri,1993,albania,1
Nosi Vasil & Kelkira; br. Stiliano; sis. Adelina Kosturi,1992,albania,4
Orgocka Paskal & Lefkothea,1991,albania,2
Panariti Isuf & Niqi,2014,albania,2
Pilku Njazi & Liza,1997,albania,2
Qoqja Beqir,1992,albania,1
Rezniqi Arslan,2008,albania,1
2 Ruli Metin Aziz & Shpresa Ali,1992,albania,2
Sharri Faik & Sabrije,2014,albania,2
Sheko Stavro & Nora,1993,albania,2
Sheqer Pashkaj Ali,2002,albania,1
Shkurti Pietro & Magdalena,1992,albania,2
Shpuza Esheref,1993,albania,1
Toptani Atif & Ganimet,1992,albania,2
Veseli Hamid; brother Xhemal,2004,albania,2
Veseli Vesel & Fatima; son Refik,1987,albania,3
Xhyheri Qamil & Hanume,1992,albania,2
Zyma Bessim & Higmet,1999,albania,2
Agopyan Ashkhen,2010,armenia,1
Bagdasarian Peruza & son Sarkis,2013,armenia,2
Beurkdjian Yervante & Elbis,1982,armenia,2
Dilsizian Georges & son Andre-Gustave,2011,armenia,2
Hougassian Albert & Makrouhi; d. Berthe,1993,armenia,3
Jeretzian Ara,1981,armenia,1
Khachatryan Harutyun,2013,armenia,1
Kisheshyan Arut & Zagoruiko Natalia; daughter Almaza,2003,armenia,3
Mkrtchyan Vartan; mother Arakel,1999,armenia,2
Shakhbazyan Knarik,1999,armenia,1
Taschdjian Aram & Felicia,1992,armenia,2
Tashchyan Grigori & Pran ; ch.: Asmik & Tigran,2002,armenia,4
Beneschek Otto,1996,austria,1
Beran Christa,1985,austria,1
Beran Therese,2015,austria,1
Boehm Maria,1984,austria,1
Bottesi Wanda,1980,austria,1
Bouska (Bosko) Oswald,1964,austria,1
Buchegger Friederike,1978,austria,1
Cechal Franziska,1984,austria,1
Daublebsky-Sterneck Dr. Moritz,1977,austria,1
Dickbauer Karl,1980,austria,1
Dietz Anton,1980,austria,1
Duschka Reinhold,1990,austria,1
Edelmann Friedrich & Brigitte; daughter Brigitta,1993,austria,3
Ehn Anna,1978,austria,1
Fasching Maria,1978,austria,1
Fasching Maria; ch: Fritz Mitzi,1991,austria,2
Focke Ilse,2020,austria,1
Forsthofer Georg & Maria,2019,austria,2
Friessnegg Anna & Ludwig,1984,austria,2
Fritz Charlotte (Becher),1978,austria,1
Goltz-Goldlust Marianne,1988,austria,1
Grausenburger Maria,1978,austria,1
Groeger Karl B.,1986,austria,1
Grutsch Lambert,2002,austria,1
Haas Anna-Maria,1982,austria,1
Harand Irene,1967,austria,1
Hauer Edith (Frischmuth),1998,austria,1
Hoffmann Aloisia,2016,austria,1
Holstein Olga,1978,austria,1
2 Horrak Johann Gottfried & Franziska (Kollar),2013,austria,2
Kleisinger Dr. Ewald & Danuta,1966,austria,2
Knapp Ludwig & Maria,1968,austria,2
Kreiner Alois & Josephine,1978,austria,2
Kuchar Anna,1984,austria,1
Kuttelwascher Otto & Mina,1980,austria,2
Lanc Dr. Artur & Maria,1986,austria,2
Langbein Hermann,1967,austria,1
Leder Erwin,1999,austria,1
Legath Gisela; ch. Frieda Martin,1994,austria,2
Leitner Franz,1998,austria,1
Lingens-Reiner Dr. Ella & Kurt,1980,austria,2
Linsinger Balthasar,2010,austria,1
Littman Halleman Fryderyka,2021,austria,1
Lutz Erwin,1980,austria,1
Mach Gustav,2016,austria,1
Madritsch Julius,1964,austria,1
Manzer Anna,1984,austria,1
Matouschek Lydia,1978,austria,1
Moser Rudolf,1980,austria,1
Motesicky Baron Karl,1980,austria,1
Mueller Anna & son Konstantin,1974,austria,2
Muller Frieda,2021,austria,1
Natali Julius,1966,austria,1
Neff Dorothea,1979,austria,1
Neuschmid Wolfgang,1980,austria,1
Neustadtl Friedrich,2013,austria,1
Niedrist Franz & his sister Maria,2014,austria,2
Niedrist Hans & his sister Isabella,2014,austria,2
Olsinger Hilde,1977,austria,1
Petrykiewicz Maria,1980,austria,1
Petsche Roman Erich,1982,austria,1
Pollreiss Luci,1982,austria,1
Posch Josefa & her father Rupert,2011,austria,2
Posiles Edeltrud,1978,austria,1
Potesil Maria,1978,austria,1
Prem Michael & Maria,2014,austria,2
3 Pscheidt Johann,1963,austria,1
Reinhard Kurt,1981,austria,1
Richter Josephine,2018,austria,1
Riss Hermine,2005,austria,1
Saidler Maria,1978,austria,1
Schatz Johann & Maria,2009,austria,2
Schauer Maria,1982,austria,1
Schmid Anton,1964,austria,1
Schreiber-Freissmuth Rosa,1997,austria,1
Semrad Ludwig & Wanda,1979,austria,2
Smejkal Pauline,1979,austria,1
Sokoup Marie,2015,austria,1
Stecher Edi,1984,austria,1
Steiner Maria,1968,austria,1
Stocker Maria,1980,austria,1
Taschdjian Aram & Felicia,1992,austria,2
Thaler Heinz & Maria,2014,austria,2
Titsch Raimund,1964,austria,1
Tschoegl Florian,1979,austria,1
Tschoell Dr. Leo,1968,austria,1
Turnsek  Irma Maria,2015,austria,1
Viehboeck Anton & Toni,1978,austria,2
Wertz Dr. Rudolf,1966,austria,1
Wimmer Anna,2014,austria,1
Adamovich Matriona,2005,belarus,1
Alekseev Peotr & Anna (Derevyashkina),1998,belarus,2
Androsik Aleksander,2000,belarus,1
Anischenko Olga,1997,belarus,1
Aniszkiewicz Celina; ch: Wanda Boleslaw Jozef,1990,belarus,2
Antonik Anastasia,2014,belarus,1
Anufrijev Gavriil & Christina,1998,belarus,2
Apatskaya Olga & son Vladimir,1998,belarus,2
Archiptsova Nadezhda; daughter Lubov,1998,belarus,2
Ardynovich Varvara,2000,belarus,1
Astreika Maria,2000,belarus,1
Babak Maria,2007,belarus,1
Babich Maria,1996,belarus,1
Baranovskaya Viktoria,2000,belarus,1
Belevich Piotr,1998,belarus,1
Belitskaya-Slabko Olga,1998,belarus,1
Belotski Ivan & Agafia; d.Maria Zhoglo,1994,belarus,3
Belsky Aleksander & Aleksandra,1997,belarus,2
Belyavskaya Yefrosinia & son Aleksander,1999,belarus,2
Belyi Filip & Uliana,1997,belarus,2
Bildukevich Galina,2012,belarus,1
Birukova Yevdokia,1998,belarus,1
Birula Vikenty & Vera & son Albert,1997,belarus,3
Bobrovich Bronislava,2011,belarus,1
Bodyalo Yevdokia & her sister Sofia Prishchepova,2001,belarus,2
Bogdanova Yelena,2005,belarus,1
Bogush Filipp & Anna,2020,belarus,2
Borisenok Anna,1999,belarus,1
Borisovets Nikolay & Lyubov,2020,belarus,2
2 Borodina Tamara (Lomonosenko),1997,belarus,1
Borok Foma & Tatyana,2019,belarus,2
Borovsky Ivan,1997,belarus,1
Borshchevskaya Aleksandra (Kitovich),2011,belarus,1
Boskina Fedora & her dght. Daria Lyokhkaya,2018,belarus,2
Bovt Ivan & Ekaterina; son Ivan,1995,belarus,3
Bruzhnik Atylia & daughter Olga,1998,belarus,2
Buinskiy Yustin & Vera,2014,belarus,2
Bukato Konstantin & Olga,2007,belarus,2
Bulai Zofya & Pavel,1996,belarus,2
Buldov Yefim,2000,belarus,1
Burko Philip & Zinaida; ds. Maria Galina,1995,belarus,3
Butanova Lyubov & her sister Maria Zhukova,2016,belarus,2
Bykov Iosif & Elizaveta,1996,belarus,2
Chaikov Zot & Yelizaveta,1999,belarus,2
Chaplinskaya Maria,1996,belarus,1
Cherepok Varvara & her dght. Nataliya,2019,belarus,2
Cherepovich Maria & her husband Vladimir Ilyinski,2008,belarus,2
Chernaya Anna,1996,belarus,1
Chernetskaya Varvara,2015,belarus,1
Cherni Viktor,1996,belarus,1
Cherniavskiy Ivan & his brother Pavel,2016,belarus,2
Chirun Olga,1997,belarus,1
Ciechanowicz Wincenty & Anna; ch: Aleksander Stanislawa,1993,belarus,3
Danilevich Aleksander & Stefania & daughter Anna,2001,belarus,3
Danilevich Lidia,2021,belarus,1
Davydyonok Denis & Anastasia,2013,belarus,2
Dechtereva Feodosia,1994,belarus,1
Demeshko Vladimir & Stefanida; daughter Valentina,2005,belarus,3
Demov Yakov & Fedora & son Nikolay,2010,belarus,3
Denisov Gavrila & Anna; son Leonid,2005,belarus,3
Denisov Aleksey,2007,belarus,1
Denisov Savastey & Irina; daughter Yefrosinia,1998,belarus,3
Derevyago Anastasia,1999,belarus,1
Dergacz Vladimir & Donia; d. Maria Gromyko,1990,belarus,3
Dolenga-Wrzosek Teresa,1994,belarus,1
3 Doylitko Jan; ch. Stach Leokadia,1994,belarus,2
Draba Ivan,2016,belarus,1
Dubrovski Aleksander,1993,belarus,1
Dudik Stepan & Lyubov,2021,belarus,2
Duktovskaya Tatiana,1997,belarus,1
Dvoretski Vladimir & Maria; daughters: Valentina Klavdia,1996,belarus,3
Filippovich Mikhail,1997,belarus,1
Filippovich Varvara,1999,belarus,1
Forinko Mikhail,2019,belarus,1
Frolova Elena,1996,belarus,1
Gabis Antonina,1967,belarus,1
Gaiduk-Grimberg Nina,1997,belarus,1
Gaishun Nikifor & Maria & daughter Aleksandra,1997,belarus,3
Galakhov Denis & Nina,1994,belarus,2
Galikevich Anastasia,2010,belarus,1
Gatsko Pavel & Yevdokiya,2019,belarus,2
Gavronik Stefania & Josef,1997,belarus,2
Gerasimovich Klara & daughter Inna,2000,belarus,2
Gintovt Ivan & Tereza,2001,belarus,2
Glazebnaya Olga,1997,belarus,1
Glushakova Olga,2004,belarus,1
Glushakova Domna,1996,belarus,1
Golotsevich Yekaterina,1998,belarus,1
Golovchenko Peotr & Sofia,1998,belarus,2
Gordey Antonina,2007,belarus,1
Gorenok Praskovia,2005,belarus,1
Gorskaya Yelena,1997,belarus,1
Gripich Semeon & Sofia,2000,belarus,2
Grischik Vikenty & Maria,1997,belarus,2
Gritz Nikita & Yevgenia,2004,belarus,2
Grod Anton & Maria,1997,belarus,2
Grzhibovskaya-Slepova Aleksandra,1995,belarus,1
Gulidova-Opiok Zinaida,2004,belarus,1
Haranin Peotr & Anna; son Feodor,2005,belarus,3
Igolko Ivan,1997,belarus,1
Igrusha Ulian & Vera; son Viktor,1996,belarus,3
4 Imshennik Vladimir & Galina,1992,belarus,2
Ispravnikov Ivan & Yelena,2008,belarus,2
Ivanov Vasili; daughter Irina,1994,belarus,2
Kaleinikov Peotr & Raisa Karpova,2011,belarus,2
Kalinina Maria,1997,belarus,1
Kanapatskaya Fatima; daughter Anna (Aysha) Trofimova,2003,belarus,2
Kapusta Solomeya & Konstantin,1993,belarus,2
Kapusta Yegor; sister Nastya,1993,belarus,2
Kapustinski Mikhail & Anastasia,1998,belarus,2
Karanchuk Ludmila,2018,belarus,1
Karatai Nikolai & Yulia & son Nikolai,2001,belarus,3
Karatkevich Vera & dght. Lidia Anufriyeva,2008,belarus,2
Karpovich Ivan & Antonina,1996,belarus,2
Kartavyi Viktor & Larisa; his mother Frantishka,2000,belarus,3
Kaspevorich Uljan & Maria,1995,belarus,2
Kazachenok Maria,1996,belarus,1
Ketsko Anton 7761b 2005 Khachevski Veniamin & Anna; daughter Svetlana,2003,belarus,3
Khamitsevich Grigori & Anna,2003,belarus,2
Khamitsevich Peotr,2003,belarus,1
Khamitsevich Vasili,2003,belarus,1
Kharetskaya Maria,1997,belarus,1
Khariton Yelizeveta,2001,belarus,1
Khlusevich Luka & Pelageya,2004,belarus,2
Khmyz Praskovia,2003,belarus,1
Khodosevitch Peotr & Yanina; moth. Antonina,1996,belarus,3
Kholodinskaya Feodosia,2012,belarus,1
Khurs Anastasia,1994,belarus,1
Khurs Yemelian & Christina; son Vasili,1994,belarus,3
Kirillova Maria,2012,belarus,1
Kisel Anastasia,1997,belarus,1
Kiselev Nikolai,2005,belarus,1
Kiselev Ivan & Anna (Menkh),2011,belarus,2
Kisilevski Peotr,2001,belarus,1
Kizhlo Mikhail & Leontyna,1993,belarus,2
Klimovich Olga,1998,belarus,1
5 Kokon Nikifor,2001,belarus,1
Komar Konstantin & Maria,2001,belarus,2
Kondrashuk Denis & Maria,1998,belarus,2
Kondratovich Anton & Stanislava,1998,belarus,2
Konon Pavel & brother Yevgeny & mother Olga,2001,belarus,3
Korago Anna & daughter Olga,2001,belarus,2
Korbut Maria; children Pavel & Vera,1996,belarus,3
Koreyvo Jan & Yekaterina,2000,belarus,2
Korneychuk Nikolai & Anna,2003,belarus,2
Korneyev sisters: Tatyana Loseva Lyubov Dyakova & Olga Goncharova,2017,belarus,2
Korolev Yegor & Yekaterina,2001,belarus,2
Koroleva Praskovia,1997,belarus,1
Korotkevich Janina,2009,belarus,1
Koshniakov Stepan,1998,belarus,1
Kosokovski Vladimir & Varvara & son Aleksander,1997,belarus,3
Kostiukevich Fenya,1999,belarus,1
Kot Daria (Rusetskaya),1998,belarus,1
Kovzus Maria,2000,belarus,1
Kozhukh Maksim & Tatiana,2016,belarus,2
Kozlovsky Konstantin ; sons Genady Vladimir,1993,belarus,2
Krasikova Daria,2021,belarus,1
Krasnevski Anisim & Anna,2001,belarus,2
Krasovskaya Maria & brothers Andrey & Iosif,2015,belarus,3
Kreshchenok Mikhail & Anna,2009,belarus,2
Krezo Anna & daughter Nadezhda,2000,belarus,2
Krivenki Ivan & Yekaterina,1997,belarus,2
Krivko Aleksandr & Nina,2016,belarus,2
Kruglik Polikarp & wife; sons: Ivan Anton & Nikolai,1998,belarus,4
Krupich Ivan,2000,belarus,1
Krysko Aleksander & Tatiana; dghtr.: Irina & Nina,1997,belarus,4
2000 Kuchinskiy Stefan,2017,belarus,1
Kudak Yuzefa & her husband Aleksandr Savchitsa,2013,belarus,2
Kukharenok Nadezhda,2016,belarus,1
Kukhta Julia,1999,belarus,1
Kuleshevskaya Yekaterina,1996,belarus,1
Kulina Olga,1995,belarus,1
6 Kurbanova Nadezhda (Pavlinkovich),2000,belarus,1
Kurbat Vladislav & Elizaveta; d. Regina,1995,belarus,3
Kurianovich Yulian,2005,belarus,1
Kurlovich Trofim,1997,belarus,1
Kutenko Sergei; d. Aleksandra; gd. Evgenia,1994,belarus,3
Kuyko Foma & Yelena & their dght. Yelena,2018,belarus,3
Kuzmin Nazar & Anna & children Fedor & Oksana,2017,belarus,4
Lagodich Nikolai & Feodosia,1995,belarus,2
Lagun Feodosia,2000,belarus,1
Lakotko Kondratiy & Anna,2019,belarus,2
Larin Viktor & sister Lilia,1998,belarus,2
Lavrov Adam & Varvara,2018,belarus,2
Lawnik Ivan & Julia; son Sergei,1992,belarus,3
Leshukevich Mikhalina,2010,belarus,1
Lewanowicz Ignacy & Janina,1991,belarus,2
Lisovski Klimenti & Olga son Kim,2006,belarus,2
Livanova Yelizaveta,1998,belarus,1
Lopatik Vladimir & Maria & son Vladimir,2002,belarus,3
Loyko Ivan & Anna,2017,belarus,2
Lukianovich Nikita & Sofia & daughter Svetlana,2000,belarus,3
Lutskina Aleksandra (Zhilich),1997,belarus,1
Lyalkov Kondrat & daughter Olga,2000,belarus,2
Lych Anna,2000,belarus,1
Lysiuk Nina,1994,belarus,1
Machulenko Ludmila,1996,belarus,1
Makarenko Pelageya,1998,belarus,1
Makovskaya Tina; m. Revyakova Aleksandra,1996,belarus,2
Makrushits Nadezhda,2003,belarus,1
Maksimyuk Natalia; d.Natalia,1992,belarus,2
Malinovski Roman & Zofia,1997,belarus,2
Manov Aleksander & Margarita,1996,belarus,2
Marinenko Nadezhda,1996,belarus,1
Martsulyanis Maria,2010,belarus,1
Masukevich Irina,1995,belarus,1
Matskevich Kazimir & Tatyana,2011,belarus,2
Matyukov Boris,2011,belarus,1
Mazurkevich Grigoriy & Anastasia,2012,belarus,2
7 Mazurkievich Fedor,1994,belarus,1
Melnikov Nikolai & Anastasia; ch: Vladimir & Zinaida,1996,belarus,4
Metlitski Feodor,1999,belarus,1
Mikhadiuk Michail & Lidia,1999,belarus,2
Mikhailova Zoya,1996,belarus,1
Mikhalap Galina; mother Stepanida,1994,belarus,2
Mikhalevich Ivan & Ekaterina & daughter Bronislava,2002,belarus,3
Mikhnovets Christina (Solovets),2009,belarus,1
Mikolayenok Nikolay,2016,belarus,1
Mikulko Michalina; d. Maria Tichon,1992,belarus,2
1995 Milto Peotr & Zinaida Kolosovskaya,1995,belarus,2
Minin Ivan,2004,belarus,1
Miruk Maria,1999,belarus,1
Moiseyenko Maria,2012,belarus,1
Moroz Anton & Maria,1999,belarus,2
Moskalenko Maria,2009,belarus,1
Mozheiko Vanda,2012,belarus,1
Mozol Stepan & Agafya,1979,belarus,2
Muraviova Liudmila; mother Ksenia,2003,belarus,2
Naumiuk Aleksander & Nadezhda son Peotr,2006,belarus,2
Nazarenko Vera (Asaulo),2005,belarus,1
Nazaruk Iosif & Anna,2005,belarus,2
Neronski Arsenij,2000,belarus,1
Nevinskaya Yekaterina,2004,belarus,1
Novitskaya Tatiana & daughter Galina,1998,belarus,2
Novodvorski Ivan & Antonina,2001,belarus,2
Novosad Aleksander,1993,belarus,1
Okhrits Vera,2007,belarus,1
Orlov Vasili,2005,belarus,1
Osipova Maria; daughter Tamara,1995,belarus,2
Panasiuk Mikhail,1998,belarus,1
Panevchik Anna,1996,belarus,1
Pashkevich Maryla & Vladislav,1998,belarus,2
Pashkovskaya Larisa & her parents Grigoriy & Yelena,2012,belarus,3
Pauk Ivan & Anna & children: Aleksander & Lidia,2001,belarus,4
Pavlova Olga (Demova),2010,belarus,1
Pavlova Yelena & her sister Prostak Irina (Pavlova),1995,belarus,2
8 Pechenezhskaya Yelena,2001,belarus,1
Pendo Konstantin & Aleksandra ; son Ivan,1995,belarus,3
Perednya Yefim & Melania & son Ivan,2001,belarus,3
Peregud Nikolai & Anna,1997,belarus,2
Pertsov Ivan & Vera,1999,belarus,2
Peshkov Ivan & Anna & dght. Valentina,2016,belarus,3
Petrash Anton & Eva & ch. Benedikt & Veronika,2013,belarus,4
Petrashko Jadviga ; d. Aleksandra Hamutova,1995,belarus,2
Petrovich Adam & Lidia ; d. Valentina Vykhoto,1995,belarus,3
Petrovski Arkadi & Maria & children Aleksandra & Zinaida,1997,belarus,4
Piletskaya Nadezhda,1995,belarus,1
Pisareva Raisa & mother Maria,1998,belarus,2
Pisetski Iosif & Ludmila,2000,belarus,2
Pitzunik Lidia (Mikhalkina),1996,belarus,1
Piwinskaya Jozefa & daughters: Michalina Ludwiga Helena & Jadwiga,2000,belarus,3
Pleskach Olga,1999,belarus,1
Pobol Aleksander & Aleksandra & son Vladimir,2000,belarus,3
Pobol Ivan,2016,belarus,1
Pobolovetz Maria,1994,belarus,1
Podberezko Lubov,1995,belarus,1
Polikarpovich Peotr & Lidia & children Tatiana & Valentina,1997,belarus,4
Popelyayeva Polina,2006,belarus,1
Popko Andrey,2010,belarus,1
Pozharitski Bronislaw & Alima,1999,belarus,2
Pozniak Stanislav & Tasilia dght. Janina Likhorad,2008,belarus,2
Prokopovich Aleksander & Maria & daughter Sofia,2000,belarus,3
Prudnichenko Lukeria,1998,belarus,1
Putan Leonid & mother Yuzefa,1998,belarus,2
Rakovich Kirill & Nina,2001,belarus,2
Reutovich Stepan & Yefimia,2001,belarus,2
Rimarovich Yelena,2007,belarus,1
Rogachevskaya (Dulevich) Aleksandra,2001,belarus,1
Romanovskaya Barbara,2010,belarus,1
Rudakovskaya Antonina,2000,belarus,1
9 Rudkovsky Ivan,2009,belarus,1
Rusakovich Aleksandra,1996,belarus,1
Rusetskiy Yefim & Yulia,2014,belarus,2
Rutzkaya Stepanida,1995,belarus,1
Ruzhinskiy Ivan & Anastasia,2016,belarus,2
Safonov Gennady N.,1992,belarus,1
Sakuro Daria,1994,belarus,1
Saltanovich-Lavrova Ludmila,1999,belarus,1
Samotkannaya Anastasiya,2020,belarus,1
Sapego Olga,2011,belarus,1
Schegelskaya Yadviga,1996,belarus,1
Sedlovski Dmitry & Aleksandra,2007,belarus,2
Seledtsova Anna & children Yemelian & Natalia,2001,belarus,3
Semashko Kirill & Anastasia dght. Raisa,1996,belarus,2
2001 Semenovich Maria; sister Nadezhda,1996,belarus,2
Semeshkin Grigori & Feoktista,1998,belarus,2
Senkevich Peotr & Maria & son Yevgeniy,2013,belarus,3
Serova Anna; daughter Zoya,1994,belarus,2
Sharangovich Ivan & Paulina son Vladimir,2008,belarus,2
Sharovarova Maria,1999,belarus,1
Shashok Afanasi & Praskovia & daughter Anastasia,1997,belarus,3
Shashok Aleksey & Agrippina,2016,belarus,2
Shashok Michail & Yevgenia,2002,belarus,2
Shashok Pelageya,2002,belarus,1
Shchekalo Natalia & sons Ivan & Aleksey,2013,belarus,3
Sheremetiev Sergei & Zimaida & son Vladimir,1994,belarus,3
Shichko Maria; daughter Galina,1998,belarus,2
Shnip Anton,1997,belarus,1
Shpilenya Ivan & Natalia,1995,belarus,2
Shumeiko Aleksandra; children Evgeni & Ivan,1998,belarus,3
Shuneiko Viktor & Natalia,2014,belarus,2
Shurpach Larisa & her dght. Emilia Tsylko,2016,belarus,2
Shutsikov Yefim & Nadezhda,1999,belarus,2
Sidorenko Olga,1990,belarus,1
Simon Varvara,1997,belarus,1
Siroshik Avdey & son Feodor,2012,belarus,2
Sivakov Pavel,1995,belarus,1
10 Skovorodka Konstantin,1994,belarus,1
Skripko Aleksandra & her sister Maria Dybal,2006,belarus,2
Slesareva Tsinkleta,1998,belarus,1
Slizewska-Tseluyko Helena,1990,belarus,1
Smolskaya-Sapetko Yelena,1998,belarus,1
Soiko Akseniya ; son Nikolai,1998,belarus,2
Sokolovska Stefa,1998,belarus,1
Sokolovsky Vladimir & Lidia,1998,belarus,2
Solianik Stanislava (Braun),2006,belarus,1
Sopot Stepan & Aleksandra,1997,belarus,2
Soroka Iosif & Olga son Anatoli,1997,belarus,2
98 Sparning-Baranova Vera (Demidova),2001,belarus,1
Stankevich Ivan & Maria & children Jadviga & Bronislawa,2000,belarus,4
Stanko Andrey & Natalya,1966,belarus,2
Starovoitova Nadezhda,2000,belarus,1
Staskevich Yekaterina & her dght.Nadezhda,2020,belarus,2
Stelmashonok Valentina,1996,belarus,1
Stepuro Emilia,1997,belarus,1
Svetlikov Nikolay & Stefanida Golushenkova,1999,belarus,2
Tikhanovich Valentin & Yelena,2011,belarus,2
Timoshenko Yefrosinia,2014,belarus,1
Titova Ksenia & dght. Yevgenia & granddaughter Maria,2015,belarus,3
Tolochko Mikhail & Stefanida & daughter Maria,2001,belarus,3
Tsvechkovski Eduard & Nadezhda & dght. Raisa,2004,belarus,3
Tumilovich Kazimir & Galina,2006,belarus,2
Tunkevich Josef,2001,belarus,1
Ulasik Jilia & daughter Natalia,1998,belarus,2
Valaj Ivan,2000,belarus,1
Valendovich Yelena,1979,belarus,1
Varaksa Emilia,1994,belarus,1
Varaksa Vyacheslav & sister Tamara,2001,belarus,2
Vasilevski Ivan & Zinaida,1997,belarus,2
Velichko Anna,1997,belarus,1
Verbitski Adam,2000,belarus,1
Veselina-Tkacheva Feokla,1999,belarus,1
11 Vinogradova Yuliana & daughter Iraida,1997,belarus,2
Vishnevskaya Sofia & her brother Feliks,2001,belarus,2
Vladiko Andrey & Anastasia,1994,belarus,2
Voinilovich Konstantin & Anna,2015,belarus,2
Volkovets Lidia,2010,belarus,1
Volynets Sergey & Ulyana son Nikolay,2008,belarus,2
Vorobei Denis & Eva,1997,belarus,2
Vorobyeva Eva,1996,belarus,1
Voronich Maria,2005,belarus,1
Voronov Feodor & Mistridia,1994,belarus,2
Vorotchik Yelena (Schultz) & her mother Yefrosinia Grenko,2012,belarus,2
Vyhota Tereza,1997,belarus,1
Yakunin Vasili,2004,belarus,1
Yalovik Julia & son Viktor,1999,belarus,2
Yanushevich Mikhail & Varvara,2011,belarus,2
Yasinskaya Maria & sons Aleksandr & Boris,2012,belarus,3
Yaskevich Anna,2018,belarus,1
Yazymenko Vasily & Avdotya,2007,belarus,2
Yemelyanova Yevgenia,1992,belarus,1
Yermolovich Ignat & Sofia,1995,belarus,2
Yevdokimova Maria,1996,belarus,1
Zaitsev Ivan,1999,belarus,1
Zaustinskaya Nadezhda,1997,belarus,1
Zavadskaya Yefrosinia,1996,belarus,1
Zaytzev Tit,1997,belarus,1
Zhavrid Anastasia,1999,belarus,1
Zhelnerovich Stepan,2012,belarus,1
Zhelubovski Adolf,2001,belarus,1
Zhorov Arsen & Marfa; daughter Olimpiada,2005,belarus,3
Zhuk Franz & his brother Anton,2016,belarus,2
Zolotuhina Fedora,1997,belarus,1
Zubova Fedosia & daugher Zofia,1997,belarus,2
Zuyevskaya Anna,2001,belarus,1
Zvonnik Aleksandra,2004,belarus,1
Abbeloos Antoine & Flore (Devos),1975,belgium,2
Abras Joseph & Jeanne (Delage),2012,belgium,2
Aelbers Mathieu H. & Maria (Alberts),1984,belgium,2
Aendekerk Petrus Johannes H.,1985,belgium,1
Aerts Jean,2005,belgium,1
Alardo Victor & Ida; ch: Marcelle Marie-Louise Joseph,1992,belgium,3
Alleman Jean-Baptiste & Augusta,1996,belgium,2
Amelot Adele,1996,belgium,1
Anciaux Emile & Josephine,1994,belgium,2
Andre Emile & daughter Madeleine,2000,belgium,2
Andre Emilie & sister Juliette,2000,belgium,2
Andre Joseph,1968,belgium,1
Andre Paul & Jeanne,1983,belgium,2
Andries Joseph Jean & Marie (Vanden Bergh),2015,belgium,2
Andriesse-Renard Paule,1996,belgium,1
Aneuse Nelly (Mother Julienne Aneuse),2015,belgium,1
Annaert Petrus & Isabella her mother Catherine Steenput-Jacobs,2007,belgium,2
Ansiaux Nicolas J. & Marie Celine,1988,belgium,2
Antonis-Maluin Rene & Leontine (Depraetere),1989,belgium,2
Arcq Georgees & Lydie,1999,belgium,2
Arekens Marie,1997,belgium,1
Arnauts Marie T.E. (Mere Ursule),2010,belgium,1
Arnoldy Marcel & Celestine (Schyns),2008,belgium,2
Arnould Fernand & Nelly (Bayard),1972,belgium,2
Artus Mathilde,1985,belgium,1
t Hoff),1994,belgium,1
Avaux Evence & Irene (Grimee),1998,belgium,2
Baeck Bernard & Arlette (Peeters),2009,belgium,2
2 Baeten Antoon & Maria (Jaspers),1980,belgium,2
Baggen Helene,2003,belgium,1
Baichez Fernand & Juliette-Marie,2002,belgium,2
Bal Auguste & Odile,2000,belgium,2
Bamps Louis & Elisa,2003,belgium,2
Bams Joannes & Elvira (Borgugnons),2017,belgium,2
Bartholomeus Urbain & Marie-Louise,2001,belgium,2
Bastin Jules & Josephine (Bodson),1984,belgium,2
Baucq Gaston & Jeanne,2010,belgium,2
Bauduin Edmond,1985,belgium,1
Beckers Maria Louise (Mother Marguerite),2013,belgium,1
Behaeghel Florimond & Marguerite ch: Marie-Louise & Marcel,1995,belgium,3
Beirens Marie,1999,belgium,1
Bekaille Albert,2001,belgium,1
Bellemans Jules & Clementine (Gorlias),1996,belgium,2
